"Dia","Estació","Nivell absolut (msnm)","Percentatge volum embassat (%)","Volum embassat (hm3)"
"08/02/2026","Embassament de Sau (Vilanova de Sau)","421,61","88,4","146,58"
"08/02/2026","Embassament de la Baells (Cercs)","629,65","98,8","107,45"
"08/02/2026","Embassament de Darnius Boadella (Darnius)","158,08","94,7","59,95"
"07/02/2026","Embassament de Susqueda (Osor)","349,13","95,4","213,27"
"07/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,72","46,6","5,60"
"07/02/2026","Embassament de Darnius Boadella (Darnius)","158,08","94,7","59,96"
"07/02/2026","Embassament de la Llosa del Cavall (Navès)","805,30","97,4","69,69"
"07/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,29","95,9","23,41"
"07/02/2026","Embassament de Sau (Vilanova de Sau)","421,43","87,8","145,61"
"07/02/2026","Embassament de Foix (Castellet i la Gornal)","99,42","80,9","2,73"
"07/02/2026","Embassament de Riudecanyes","219,46","99,8","5,31"
"07/02/2026","Embassament de la Baells (Cercs)","629,49","98,3","106,90"
"06/02/2026","Embassament de Riudecanyes","219,46","99,8","5,31"
"06/02/2026","Embassament de Sau (Vilanova de Sau)","421,26","87,2","144,62"
"06/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,66","46,4","5,57"
"06/02/2026","Embassament de Darnius Boadella (Darnius)","158,09","94,8","59,98"
"06/02/2026","Embassament de la Baells (Cercs)","629,31","97,7","106,25"
"06/02/2026","Embassament de Foix (Castellet i la Gornal)","99,43","81,1","2,73"
"06/02/2026","Embassament de la Llosa del Cavall (Navès)","805,12","96,7","69,22"
"06/02/2026","Embassament de Susqueda (Osor)","349,34","95,9","214,42"
"06/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,27","95,8","23,38"
"05/02/2026","Embassament de la Llosa del Cavall (Navès)","804,90","95,9","68,65"
"05/02/2026","Embassament de la Baells (Cercs)","629,11","97,1","105,53"
"05/02/2026","Embassament de Foix (Castellet i la Gornal)","99,44","81,2","2,74"
"05/02/2026","Embassament de Susqueda (Osor)","349,51","96,3","215,32"
"05/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,59","46,1","5,54"
"05/02/2026","Embassament de Sau (Vilanova de Sau)","421,13","86,8","143,88"
"05/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,25","95,7","23,35"
